,transaction date,transaction type,product id,sku id,buyer country,buyer postal code,amount (merchant currency)
0,2021-06-01,Charge,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,62011,4.49
1,2021-06-01,Charge,com.vansteinengroentjes.apps.ddfive,premium,US,55320,2.86
2,2021-06-02,Charge,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,54220,4.51
3,2021-06-02,Charge,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,78250,4.5
4,2021-06-02,Charge,com.vansteinengroentjes.apps.ddfive,premium,US,74830,2.86
5,2021-06-02,Charge,com.vansteinengroentjes.apps.ddfive,premium,IL,7548207,3.25
6,2021-06-02,Charge,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,GB,YO24 4NG,2.83
7,2021-06-02,Charge,com.vansteinengroentjes.apps.ddfive,premium,SE,226 48,1.72
8,2021-06-02,Charge,com.vansteinengroentjes.apps.ddfive,premium,US,74429,2.86
9,2021-06-02,Charge,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,25123,4.5
10,2021-06-02,Charge,com.vansteinengroentjes.apps.ddfive,premium,US,25123,2.86
11,2021-06-02,Charge,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,90803,4.5
12,2021-06-03,Charge,com.vansteinengroentjes.apps.ddfive,premium,US,85203,2.88
13,2021-06-03,Charge,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,98662,4.53
14,2021-06-03,Charge,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,15108,4.53
15,2021-06-03,Charge,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,91913,4.53
16,2021-06-03,Charge,com.vansteinengroentjes.apps.ddfive,premium,US,33773,2.88
17,2021-06-03,Charge,com.vansteinengroentjes.apps.ddfive,premium,US,79412,2.88
18,2021-06-04,Charge,com.vansteinengroentjes.apps.ddfive,premium,US,07480,2.88
19,2021-06-04,Charge,com.vansteinengroentjes.apps.ddfive,premium,NL,7523 ZA,1.73
20,2021-06-04,Charge,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,64029,4.53
21,2021-06-04,Charge,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,48312,4.51
22,2021-06-04,Charge,com.vansteinengroentjes.apps.ddfive,premium,US,45710,2.87
23,2021-06-04,Charge,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,45710,4.51
24,2021-06-04,Charge,com.vansteinengroentjes.apps.ddfive,premium,US,53575,2.87
25,2021-06-05,Charge,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,11210,4.51
26,2021-06-05,Charge,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,11214,4.51
27,2021-06-06,Charge,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,98387,4.51
28,2021-06-06,Charge,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,47542,4.51
29,2021-06-06,Charge,com.vansteinengroentjes.apps.ddfive,premium,US,47542,2.87
30,2021-06-06,Charge,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,34479,4.51
31,2021-06-06,Charge,com.vansteinengroentjes.apps.ddfive,premium,US,34479,2.87
32,2021-06-06,Charge,com.vansteinengroentjes.apps.ddfive,premium,US,08505,2.87
33,2021-06-06,Charge,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,55806,4.51
34,2021-06-06,Charge,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,55806,4.51
35,2021-06-06,Charge,com.vansteinengroentjes.apps.ddfive,premium,US,63077,2.87
36,2021-06-06,Charge,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,85712,4.51
37,2021-06-06,Charge,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,27530,4.51
38,2021-06-06,Charge,com.vansteinengroentjes.apps.ddfive,premium,US,02746,2.87
39,2021-06-06,Charge,com.vansteinengroentjes.apps.ddfive,premium,US,84318,2.87
40,2021-06-07,Charge,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,84318,4.52
41,2021-06-07,Charge,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,37876,4.52
42,2021-06-07,Charge,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,68022,4.51
43,2021-06-07,Charge,com.vansteinengroentjes.apps.ddfive,premium,US,68022,2.87
44,2021-06-07,Charge,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,48867,4.51
45,2021-06-07,Charge,com.vansteinengroentjes.apps.ddfive,premium,US,48867,2.87
46,2021-06-07,Charge,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,21222,4.51
47,2021-06-07,Charge,com.vansteinengroentjes.apps.ddfive,premium,US,71111,2.86
48,2021-06-07,Charge,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,71111,4.5
49,2021-06-07,Charge,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,76179,4.5
50,2021-06-07,Charge,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,65265,4.5
51,2021-06-07,Charge,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,US,38572,4.5
52,2021-06-07,Charge,com.vansteinengroentjes.apps.ddfive,unlockcharactermanager,AU,5048,4.62
